node,out_degree_centrality,in_degree_centrality,katz_centrality,closeness_centrality,betweenness_centrality
Kuwait_City,0.0017,0.0015,0.0087,0.3393,0.0
Kylie_Minogue,0.0074,0.0015,0.009,0.3549,0.0007
Kyoto_Protocol,0.0104,0.003,0.0092,0.3449,0.0001
Kyrgyzstan,0.0099,0.0116,0.0192,0.3788,0.0003
L._S._Lowry,0.002,0.0007,0.0082,0.3411,0.0
La_Grande_Armée,0.0091,0.0005,0.0081,0.3369,0.0001
La_Paz,0.002,0.0015,0.008,0.3201,0.0
Labor_Day_Hurricane_of_1935,0.0049,0.0022,0.008,0.294,0.0006
Ladysmith_Black_Mambazo,0.004,0.0005,0.0077,0.3186,0.0
Lagos,0.0032,0.0017,0.0084,0.3288,0.0
Laika,0.0059,0.0015,0.0082,0.325,0.0003
Lake_Albert,0.002,0.0017,0.0081,0.3087,0.0
Lake_Baikal,0.0047,0.0017,0.0086,0.3401,0.0001
Lake_Burley_Griffin,0.0025,0.0005,0.0073,0.2645,0.0
Lake_Chad,0.003,0.0015,0.0084,0.3139,0.0
Lake_District,0.0077,0.0015,0.0099,0.3712,0.0008
Lake_Edward,0.0017,0.0017,0.0079,0.292,0.0
Lake_Kariba,0.0032,0.0005,0.0074,0.2799,0.0
Lake_Kivu,0.0022,0.0012,0.0077,0.28,0.0
Lake_Malawi,0.0032,0.001,0.0076,0.2817,0.0
Lake_Mead,0.001,0.0012,0.0075,0.2803,0.0
Lake_Powell,0.0015,0.0005,0.0072,0.2527,0.0
Lake_Superior,0.0052,0.0037,0.0086,0.3122,0.0001
Lake_Tahoe,0.002,0.0007,0.0077,0.3159,0.0
Lake_Tanganyika,0.0027,0.0047,0.0101,0.3416,0.0001
Lake_Titicaca,0.0012,0.0012,0.0082,0.3294,0.0
Lake_Toba,0.0032,0.001,0.0077,0.3107,0.0001
Lake_Turkana,0.0032,0.0002,0.0073,0.2889,0.0
Lake_Victoria,0.0049,0.003,0.0094,0.3421,0.0001
Lake_Vostok,0.0044,0.0005,0.0074,0.3036,0.0
Lance_Armstrong,0.0025,0.0012,0.0076,0.2815,0.0001
Land_(economics),0.0007,0.001,0.0076,0.2979,0.0
Landform,0.004,0.003,0.0086,0.3223,0.0001
Landscape,0.0012,0.0027,0.0086,0.3362,0.0001
Language,0.0059,0.0257,0.0238,0.4202,0.0015
Lanthanum,0.0069,0.0035,0.0085,0.268,0.0
Laos,0.0077,0.0148,0.0225,0.3973,0.0003
Laozi,0.0015,0.0015,0.008,0.3183,0.0
Las_Palmas_de_Gran_Canaria,0.001,0.0007,0.0094,0.356,0.0
"Las_Vegas,_Nevada",0.0086,0.0054,0.0114,0.3795,0.0003
Last_Supper,0.003,0.002,0.0087,0.3351,0.0
Latin,0.0072,0.104,0.0829,0.518,0.0047
Latin_America,0.0232,0.0249,0.0271,0.4348,0.0018
Latin_alphabet,0.0086,0.0114,0.0185,0.3944,0.0006
Latvia,0.0193,0.0165,0.0279,0.4176,0.0003
Laurence_Olivier,0.004,0.0035,0.009,0.3347,0.0005
Laurent_Fignon,0.001,0.0007,0.0073,0.2576,0.0
Lavender,0.0035,0.0007,0.0074,0.2669,0.0
Law,0.0242,0.0205,0.0224,0.412,0.0028
Lawn,0.0044,0.0015,0.0079,0.3132,0.0001
Lawrencium,0.004,0.0015,0.0078,0.263,0.0
Laws_in_Wales_Acts_1535–1542,0.0025,0.0025,0.01,0.3607,0.0001
Layla,0.0017,0.0002,0.0072,0.2519,0.0
Lead,0.0074,0.0227,0.0198,0.3897,0.0013
League_of_Nations,0.019,0.0138,0.0209,0.4059,0.001
Leaning_Tower_of_Pisa,0.0027,0.0005,0.0073,0.27,0.0
Lebanon,0.0474,0.0262,0.0362,0.431,0.0017
Leeds,0.0077,0.0054,0.0102,0.351,0.0002
Leicester,0.0109,0.0049,0.0101,0.3528,0.0008
Leif_Ericson,0.0037,0.0007,0.0076,0.3038,0.0
Leisure,0.0025,0.0012,0.0078,0.3237,0.0
Lemon,0.0077,0.0057,0.0095,0.3255,0.0007
Lemon_balm,0.0027,0.001,0.0074,0.2493,0.0
Lemon_myrtle,0.0022,0.0002,0.0072,0.2456,0.0
Lens_(anatomy),0.0012,0.0015,0.0076,0.2751,0.0
Leo_Tolstoy,0.0072,0.0054,0.0095,0.3352,0.0003
Leon_Trotsky,0.0111,0.004,0.0111,0.3552,0.0001
Leonardo_da_Vinci,0.0116,0.0081,0.0118,0.3603,0.0009
Leonhard_Euler,0.0081,0.0049,0.0094,0.3359,0.0004
Lerwick,0.0032,0.0005,0.0073,0.2519,0.0
Lesotho,0.0074,0.0116,0.0177,0.3768,0.0004
Lettuce,0.0049,0.001,0.0079,0.3264,0.0002
"Levee_failures_in_Greater_New_Orleans,_2005",0.0017,0.0007,0.0074,0.2666,0.0
Lhasa,0.0032,0.0015,0.0078,0.2883,0.0
Liberal_Democrats,0.0042,0.0069,0.0113,0.3501,0.0001
Liberal_democracy,0.0133,0.0059,0.0159,0.4088,0.0003
Liberalism,0.0249,0.0089,0.0165,0.3882,0.0009
Liberia,0.0052,0.0138,0.0226,0.4136,0.0001
Libertarianism,0.0064,0.0047,0.01,0.3412,0.0001
Library,0.0148,0.0074,0.0109,0.3496,0.0007
Library_of_Alexandria,0.0025,0.002,0.008,0.3118,0.0001
Library_of_Congress,0.0042,0.0052,0.0098,0.3381,0.0001
Libreville,0.0015,0.0012,0.0088,0.3427,0.0
Libya,0.0148,0.0237,0.0297,0.4096,0.0007
Liechtenstein,0.0279,0.0101,0.0211,0.4004,0.0004
Life,0.0037,0.0131,0.0145,0.3742,0.0003
Light,0.0136,0.0178,0.0159,0.3776,0.0022
Lighting_designer,0.0002,0.0005,0.0073,0.2721,0.0
Lightning_rod,0.0037,0.0007,0.0074,0.2682,0.0
Lille,0.0106,0.0044,0.0115,0.371,0.0002
Lilongwe,0.0022,0.0007,0.0081,0.3313,0.0
Lima,0.004,0.0035,0.0097,0.3439,0.0
Limerick,0.004,0.0017,0.0086,0.3334,0.0001
Lindisfarne_Gospels,0.0032,0.0007,0.0074,0.2772,0.0
Linear_algebra,0.0049,0.0012,0.0077,0.2965,0.0001
Linguistics,0.0027,0.0119,0.016,0.3993,0.0004
Link_(The_Legend_of_Zelda),0.0012,0.0002,0.0072,0.2062,0.0
Linus_Pauling,0.0128,0.0042,0.0091,0.3289,0.0005
Linus_Torvalds,0.0035,0.0025,0.0083,0.3246,0.0003
Linux,0.003,0.0094,0.0106,0.3319,0.0007
Lion,0.0101,0.0138,0.0178,0.4089,0.002
Lipid,0.0012,0.0037,0.0087,0.3103,0.0001
Liquid_crystal,0.0027,0.0012,0.0077,0.2838,0.0
Lisbon,0.0156,0.0077,0.0136,0.3792,0.0008
List_of_European_Union_member_states_by_accession,0.0225,0.0005,0.0075,0.2983,0.0
List_of_French_monarchs,0.003,0.0015,0.0078,0.2934,0.0
List_of_Prime_Ministers_of_the_United_Kingdom,0.019,0.0005,0.0074,0.2895,0.0
List_of_Test_cricket_triple_centuries,0.002,0.0002,0.0072,0.2131,0.0
List_of_U.S._states_by_date_of_statehood,0.0025,0.002,0.0085,0.3247,0.0
List_of_areas_in_the_National_Park_System_of_the_United_States,0.0052,0.0005,0.0092,0.3732,0.0012
List_of_circulating_currencies,0.0583,0.002,0.0091,0.3429,0.0003
List_of_countries,0.0602,0.0153,0.0239,0.413,0.0015
List_of_countries_by_system_of_government,0.0511,0.0602,0.079,0.4701,0.0052
List_of_elements_by_name,0.0294,0.0296,0.0208,0.3539,0.005
List_of_essential_oils,0.0044,0.0007,0.0073,0.2594,0.0001
List_of_monarchs_in_the_British_Isles,0.0158,0.0007,0.0074,0.2772,0.0
List_of_popes,0.0081,0.0002,0.0072,0.2632,0.0
List_of_rivers_by_length,0.0385,0.0007,0.0093,0.3741,0.0008
List_of_sovereign_states,0.0533,0.0104,0.0164,0.4004,0.0016
List_of_universities_in_the_United_Kingdom,0.0007,0.0002,0.0073,0.2966,0.0
List_of_vegetable_oils,0.0114,0.0007,0.0073,0.2594,0.0013
Literacy,0.0059,0.0091,0.0146,0.371,0.0002
Literature,0.0109,0.0195,0.0197,0.403,0.0014
Lithium,0.0096,0.0057,0.01,0.3153,0.0002
Lithium_aluminium_hydride,0.004,0.0005,0.0074,0.2925,0.0
Lithuania,0.0091,0.0225,0.0336,0.4303,0.0003
Little_Women,0.0037,0.0002,0.0072,0.193,0.0
Liverpool,0.0096,0.0128,0.015,0.3854,0.0006
Liverpool_F.C.,0.0025,0.003,0.0097,0.357,0.0
Liverpool_and_Manchester_Railway,0.0025,0.002,0.0081,0.3186,0.0001
Llandudno,0.0044,0.0002,0.0072,0.2272,0.0
Llywelyn_the_Great,0.003,0.0005,0.0073,0.2518,0.0
Local_government_in_the_United_Kingdom,0.0049,0.0002,0.0086,0.3535,0.0002
Loch,0.0017,0.0017,0.0092,0.3564,0.0001
Loch_Ness,0.0022,0.0007,0.0074,0.2717,0.0
Logic,0.0054,0.0096,0.0123,0.3572,0.0003
Logistics,0.002,0.0025,0.0081,0.3106,0.0002
Lomé,0.0037,0.001,0.0088,0.3429,0.0
London,0.0252,0.1321,0.0749,0.4936,0.0163
London_Bridge,0.0049,0.002,0.0085,0.3321,0.0001
London_Underground,0.0027,0.0059,0.0115,0.3681,0.0004
London_Zoo,0.003,0.0015,0.0076,0.2675,0.0
London_sewerage_system,0.002,0.0002,0.0072,0.2771,0.0
Long_pepper,0.0025,0.0005,0.0073,0.2396,0.0
Longship,0.003,0.0012,0.0077,0.3032,0.0
Looney_Tunes,0.0035,0.002,0.0077,0.2778,0.0001
Lord's_Resistance_Army,0.0027,0.0012,0.008,0.311,0.0
Lord_Voldemort,0.004,0.0002,0.0072,0.2404,0.0
"Los_Angeles,_California",0.0277,0.0178,0.0169,0.3943,0.0021
Lost_(TV_series),0.0062,0.0015,0.0076,0.2622,0.0001
Lothal,0.0072,0.001,0.0076,0.2948,0.0
Louis_Armstrong,0.0072,0.0022,0.008,0.3015,0.0001
Louis_Jordan,0.0042,0.0015,0.0077,0.2911,0.0
Louis_Pasteur,0.0037,0.0025,0.0087,0.3411,0.0001
Louis_XIV_of_France,0.0114,0.0079,0.0134,0.3746,0.0004
"Louisville,_Kentucky",0.0143,0.0032,0.0085,0.303,0.0002
Lovage,0.0015,0.0025,0.0079,0.2623,0.0
Love,0.0049,0.0047,0.0097,0.3523,0.0003
"Lucy,_Lady_Duff-Gordon",0.002,0.0002,0.0072,0.2505,0.0
Ludwig_Wittgenstein,0.0096,0.0049,0.0097,0.339,0.0003
Ludwig_van_Beethoven,0.003,0.0069,0.0116,0.3662,0.0001
Luftwaffe,0.0059,0.0084,0.0145,0.3842,0.0002
Luminiferous_aether,0.003,0.002,0.0083,0.3145,0.0
Lunar_eclipse,0.0025,0.0035,0.0092,0.3436,0.0
Lung_cancer,0.0069,0.0054,0.0094,0.3289,0.0002
Lusaka,0.0007,0.002,0.0089,0.3417,0.0
Lutetium,0.0067,0.002,0.0081,0.2695,0.0
Luxembourg,0.0094,0.0193,0.0301,0.4254,0.0002
Luxembourg_(city),0.0059,0.0007,0.0095,0.3592,0.0
Lyme_disease,0.0062,0.0012,0.0077,0.2936,0.0001
Lyndon_B._Johnson,0.0067,0.0054,0.0101,0.3346,0.0002
Lynton_and_Barnstaple_Railway,0.0027,0.0007,0.0073,0.2044,0.0003
Lyon,0.0064,0.0057,0.0118,0.3679,0.0002
M*A*S*H_(TV_series),0.0027,0.0002,0.0072,0.2338,0.0
M1_motorway,0.0037,0.0015,0.0076,0.2676,0.0
M25_motorway,0.0042,0.0015,0.0084,0.3334,0.0001
M6_motorway,0.0047,0.001,0.0076,0.283,0.0
MINI_(BMW),0.0015,0.0005,0.0074,0.2931,0.0
Macau,0.0111,0.0067,0.0167,0.4036,0.0002
Macbeth,0.004,0.0035,0.0086,0.3087,0.0003
Macbeth_of_Scotland,0.0032,0.002,0.0079,0.3,0.0
Macedon,0.0027,0.0069,0.0115,0.3517,0.0
Machu_Picchu,0.003,0.0017,0.0083,0.3288,0.0
Macintosh,0.004,0.0042,0.0084,0.2713,0.0002
Mackenzie_River,0.0017,0.0007,0.0075,0.3005,0.0
Madagascar,0.0373,0.0232,0.0257,0.3932,0.0015
Madama_Butterfly,0.0022,0.0002,0.0073,0.2874,0.0
Madrid,0.0175,0.016,0.0188,0.4051,0.0009
Magellanic_Penguin,0.0035,0.001,0.0078,0.2923,0.0001
Maghreb,0.0054,0.0035,0.0121,0.3728,0.0
Magic__The_Gathering,0.0035,0.0015,0.0076,0.2533,0.0
Maglev_train,0.0044,0.0015,0.0083,0.3336,0.0
Magma,0.0042,0.0081,0.0105,0.3361,0.0002
Magna_Carta,0.0099,0.0064,0.011,0.3477,0.0005
Magnesium,0.0104,0.0185,0.0168,0.3706,0.0008
Magnet,0.0025,0.0037,0.0092,0.3184,0.0001
Magnetism,0.0091,0.0306,0.0217,0.3656,0.0012
Magpie,0.0022,0.0015,0.0078,0.2985,0.0005
Mahabharata,0.0025,0.0059,0.0116,0.3623,0.0002
Mahatma_Gandhi,0.0099,0.0089,0.0132,0.3727,0.001
Mahjong,0.0049,0.0002,0.0072,0.2739,0.0
Mahmoud_Abbas,0.0059,0.0015,0.0079,0.3144,0.0
Maiasaura,0.0035,0.0002,0.0072,0.2652,0.0
Maize,0.0121,0.0163,0.0182,0.4054,0.0014
Makuria,0.0057,0.0002,0.0074,0.3002,0.0002
Malaria,0.0099,0.0128,0.014,0.3664,0.0005
Malaspina_Glacier,0.0002,0.0002,0.0072,0.1761,0.0
Malawi,0.0269,0.0106,0.0161,0.3715,0.0004
Malaysia,0.0138,0.0338,0.0341,0.4335,0.0024
Malcolm_III_of_Scotland,0.003,0.003,0.0083,0.299,0.0
Malcolm_II_of_Scotland,0.0032,0.0015,0.0077,0.2885,0.0
Malcolm_X,0.0094,0.0017,0.0078,0.2903,0.0001
Maldives,0.0084,0.0099,0.0173,0.3743,0.0002
Mali,0.0064,0.0173,0.0234,0.3838,0.0003
Mallard,0.0042,0.0005,0.0072,0.225,0.0
Malta,0.0096,0.0212,0.0302,0.424,0.0003
Malwa_(Madhya_Pradesh),0.0072,0.0007,0.0074,0.2643,0.0004
Mammal,0.0104,0.044,0.0292,0.4268,0.0055
Mammoth,0.0072,0.0032,0.0085,0.3258,0.0002
Mammoth_Cave_National_Park,0.0057,0.0005,0.0073,0.2784,0.0
Mancala,0.0044,0.0005,0.0073,0.2562,0.0
Manchester,0.023,0.0185,0.0168,0.3844,0.0028
Manchester_United_F.C.,0.0052,0.0049,0.0104,0.3587,0.001
Mandan,0.003,0.0002,0.0072,0.2143,0.0
Manganese,0.0069,0.0094,0.0119,0.3498,0.0003
Mango,0.0111,0.0047,0.0102,0.3536,0.0003
Manifest_Destiny,0.0128,0.002,0.0101,0.3827,0.0005
Manifold,0.0032,0.0015,0.0078,0.3026,0.0
Manila,0.0067,0.0054,0.0109,0.354,0.0001
Manorialism,0.0027,0.0012,0.0079,0.3176,0.0
Manuel_I_Komnenos,0.0069,0.0007,0.0076,0.3006,0.0
Manufacturing,0.0052,0.0138,0.0176,0.3963,0.0003
Mao_Zedong,0.0074,0.0079,0.0146,0.3763,0.0005
Map_projection,0.0015,0.0002,0.0072,0.2833,0.0
Maputo,0.004,0.0012,0.0087,0.3383,0.0
Marcel_Lefebvre,0.004,0.0005,0.0073,0.265,0.0
Marcel_Proust,0.0032,0.003,0.0082,0.2963,0.0
Marco_Polo,0.0057,0.0047,0.0098,0.3447,0.0001
Marcus_Allen,0.0007,0.0002,0.0072,0.2268,0.0
Margaret_Sanger,0.003,0.0005,0.0074,0.2972,0.0
Margaret_Thatcher,0.0178,0.0094,0.0128,0.357,0.0007
Margate,0.003,0.001,0.0074,0.2741,0.0
Margin_of_error,0.0007,0.0005,0.0073,0.2918,0.0
Marie_Curie,0.0042,0.0025,0.0091,0.3483,0.0002
Mario,0.0044,0.0017,0.0085,0.3407,0.0006
Marjoram,0.0094,0.0027,0.008,0.265,0.0
Mark_Antony,0.0047,0.0032,0.0092,0.3303,0.0
Mark_Twain,0.0042,0.0079,0.0113,0.358,0.0014
Mark_Twain_House,0.001,0.0002,0.0072,0.2636,0.0
Mark_Webber,0.0047,0.0002,0.0072,0.2686,0.0
Market,0.002,0.0101,0.0147,0.3877,0.0001
Markup_language,0.001,0.0012,0.0077,0.3025,0.0002
Mars,0.0148,0.0121,0.0125,0.3475,0.0021
Mars_Exploration_Rover,0.0054,0.0017,0.0079,0.3064,0.0001
Mars_Reconnaissance_Orbiter,0.0035,0.0012,0.0076,0.2843,0.0
Marseille,0.0104,0.0079,0.0124,0.3688,0.0006
Marshall_Islands,0.0054,0.0062,0.0159,0.4029,0.0001
Marshall_Plan,0.0138,0.0037,0.0125,0.3773,0.0001
Martin_Luther,0.0054,0.0091,0.0141,0.3766,0.0002
"Martin_Luther_King,_Jr.",0.0109,0.0059,0.0119,0.383,0.0009
Martin_Van_Buren,0.0049,0.0025,0.0082,0.3009,0.0
Martina_Navratilova,0.0035,0.001,0.0076,0.3059,0.0
Martinique,0.0044,0.0094,0.0171,0.3996,0.0001
Marvin_Gaye,0.0042,0.0015,0.0076,0.2878,0.0
Marxism,0.0202,0.0156,0.0178,0.3776,0.0009
Mary_II_of_England,0.0064,0.0052,0.0097,0.3306,0.0001
Mary_I_of_England,0.0081,0.0057,0.0102,0.3302,0.0001
Mary_I_of_Scotland,0.0084,0.004,0.0094,0.3262,0.0001
Mary_Seacole,0.0077,0.0002,0.0072,0.2704,0.0003
Maseru,0.001,0.0005,0.008,0.3315,0.0
Mass_Rapid_Transit_(Singapore),0.002,0.0007,0.0075,0.3057,0.0
Mass_media,0.0119,0.0126,0.0165,0.3984,0.002
Massospondylus,0.0037,0.0005,0.0072,0.2097,0.0003
Material_properties_of_diamond,0.0069,0.0007,0.0073,0.2138,0.0003
Mathematical_analysis,0.0044,0.0037,0.0087,0.3141,0.0002
Mathematics,0.0156,0.0346,0.0272,0.4178,0.0055
Matilda_of_Boulogne,0.001,0.0005,0.0072,0.2332,0.0
Matrix_(mathematics),0.002,0.0027,0.0082,0.315,0.0001
Matsuo_Bashō,0.0005,0.0007,0.0074,0.2818,0.0006
Matter,0.004,0.0096,0.0124,0.3583,0.0002
Matthew_Brettingham,0.0025,0.0002,0.0072,0.1881,0.0
Mauna_Loa,0.0022,0.0012,0.0079,0.3211,0.0
Mauritania,0.0067,0.016,0.0263,0.4144,0.0001
Mauritius,0.0099,0.0173,0.0224,0.3899,0.001
Mauthausen-Gusen_concentration_camp,0.0022,0.0002,0.0072,0.2776,0.0
Max_Planck,0.0044,0.0035,0.01,0.3591,0.0001
Max_Weber,0.0119,0.0052,0.0114,0.3666,0.0002
Maxwell's_equations,0.0044,0.0049,0.0095,0.324,0.0003
Maya_civilization,0.0104,0.0074,0.0115,0.3606,0.0008
Maya_mythology,0.0044,0.001,0.0075,0.2744,0.0
Mayotte,0.0027,0.0074,0.0155,0.3668,0.0
Mbabane,0.002,0.0007,0.0082,0.3321,0.0
McFly_(band),0.0027,0.0002,0.0072,0.2618,0.0
Meander,0.0007,0.0012,0.0076,0.2967,0.0001
Measles,0.004,0.0025,0.0086,0.3317,0.0001
Measurement,0.003,0.0027,0.0087,0.3315,0.0001
Meat,0.0054,0.0084,0.0135,0.3772,0.0006
Mecca,0.0022,0.0077,0.0122,0.3531,0.0001
Mechanical_work,0.002,0.0032,0.0088,0.3231,0.0
Medal_of_Honor,0.0089,0.0025,0.0081,0.2964,0.0003
Medicine,0.0111,0.022,0.0245,0.4412,0.0021
Medieval_commune,0.0027,0.0012,0.0085,0.3395,0.0001
Medieval_literature,0.0069,0.0012,0.0077,0.3077,0.0001
Medieval_music,0.0059,0.0017,0.0079,0.3078,0.0001
Mediterranean_Sea,0.0151,0.0444,0.0433,0.4483,0.002
Meitnerium,0.003,0.0015,0.0078,0.2648,0.0
Mekong,0.0057,0.0032,0.0107,0.3533,0.0001
Melbourne,0.0173,0.0121,0.013,0.3627,0.0015
Mendelevium,0.0037,0.002,0.008,0.2702,0.0
Mendip_Hills,0.0072,0.0017,0.0077,0.2882,0.0007
Meningitis,0.0037,0.0022,0.0081,0.3113,0.0001
Menstrual_cycle,0.0025,0.001,0.0078,0.3219,0.0
Mentha,0.0052,0.0027,0.008,0.2625,0.0001
Menthol,0.0025,0.0005,0.0073,0.2281,0.0
Mercantilism,0.004,0.004,0.0096,0.3443,0.0001
Mercia,0.0042,0.0044,0.0099,0.347,0.0002
Mercury_(element),0.0158,0.0146,0.0143,0.3603,0.0017
Mercury_(planet),0.0131,0.0091,0.0113,0.3343,0.0008
Merrimack_River,0.0012,0.0005,0.0074,0.2987,0.0
Merseburg_Incantations,0.0012,0.0002,0.0076,0.3235,0.0
Mesopotamia,0.0148,0.0225,0.0241,0.414,0.0018
Mestizo,0.0146,0.0074,0.0137,0.3595,0.0004
Metal,0.0106,0.0259,0.0204,0.3841,0.0018
Metallurgy,0.0054,0.0054,0.0103,0.3535,0.0002
Metamorphic_rock,0.0032,0.0037,0.0093,0.3462,0.0001
Meteor,0.0005,0.004,0.009,0.3332,0.0
Meteor_shower,0.0007,0.0002,0.0072,0.2229,0.0
Meteorological_history_of_Hurricane_Katrina,0.0042,0.0007,0.0074,0.2666,0.0
Meteorology,0.0054,0.0086,0.0116,0.3578,0.0003
Metric_expansion_of_space,0.0047,0.0017,0.0079,0.2916,0.0
Mexico,0.0165,0.0615,0.0447,0.4643,0.004
Mexico_City,0.0089,0.0121,0.0149,0.3873,0.0004
"Miami,_Florida",0.0188,0.0064,0.0126,0.3858,0.0007
Michael_Faraday,0.004,0.0037,0.0108,0.3781,0.0002
Michael_Jordan,0.0037,0.0015,0.0079,0.3104,0.0001
Michael_Ramsey,0.0017,0.0007,0.0075,0.2979,0.0
Michelangelo,0.0035,0.0067,0.0111,0.3516,0.0003
Michigan_State_University,0.0077,0.0012,0.0077,0.2978,0.0001
Mickey_Mantle,0.003,0.0002,0.0072,0.1828,0.0
Microraptor,0.0032,0.0015,0.0077,0.2726,0.0
Microscope,0.003,0.0074,0.0106,0.3493,0.0003
Microsoft,0.0032,0.0104,0.0111,0.3382,0.0006
Microsoft_Windows,0.002,0.0091,0.0102,0.3129,0.0003
Middle_Ages,0.017,0.0548,0.0498,0.4721,0.0049
Middle_East,0.0205,0.0486,0.048,0.4726,0.0026
Midway_Atoll,0.0049,0.001,0.0094,0.3739,0.0001
Miguel_de_Cervantes,0.003,0.0032,0.0092,0.3408,0.0
Mikhail_Gorbachev,0.0119,0.0079,0.014,0.3611,0.0003
Milan,0.0077,0.018,0.0199,0.4072,0.0007
Miles_Davis,0.0047,0.0022,0.008,0.3029,0.0
Milgram_experiment,0.0017,0.0002,0.0073,0.2861,0.0
Military_dictatorship,0.0168,0.0062,0.0131,0.3676,0.0002
Milk,0.0138,0.0094,0.0123,0.3589,0.0008
Milky_Way,0.0077,0.0089,0.0108,0.3263,0.0005
Millard_Fillmore,0.004,0.002,0.0081,0.3004,0.0
Milton_Keynes,0.0069,0.0012,0.0075,0.2794,0.0001
Mind,0.0037,0.0062,0.0106,0.3505,0.0001
Mineral,0.0091,0.0289,0.0219,0.3898,0.0012
Ming_Dynasty,0.0047,0.0081,0.0134,0.3697,0.0002
Mini,0.0022,0.0007,0.0073,0.2648,0.0
Minimum_wage,0.0059,0.0025,0.0087,0.3366,0.0001
Mining,0.0081,0.0193,0.0216,0.4152,0.0011
Minmi_(dinosaur),0.0025,0.0002,0.0072,0.2212,0.0
"Minneapolis,_Minnesota",0.0133,0.0032,0.0104,0.3762,0.0004
Minnesota,0.0153,0.0126,0.0151,0.391,0.0024
Minoan_civilization,0.0126,0.0035,0.0089,0.3305,0.0003
Minstrel_show,0.0032,0.0012,0.0076,0.2918,0.0
Miocene,0.0054,0.0086,0.0109,0.344,0.0003
Mir,0.0042,0.0027,0.0089,0.334,0.0001
Miranda_Otto,0.0035,0.0002,0.0072,0.2454,0.0
Mississippi_River,0.0064,0.0128,0.0155,0.3949,0.0004
Missouri_River,0.0054,0.0037,0.0106,0.3783,0.0001
Mistle_Thrush,0.003,0.0002,0.0072,0.1773,0.0
Mitochondrial_Eve,0.002,0.0007,0.0081,0.3331,0.0
Mitochondrion,0.0027,0.0025,0.0084,0.3119,0.0001
Mixed-breed_dog,0.0025,0.0005,0.0073,0.2616,0.0
Modern_history,0.0247,0.0005,0.0073,0.263,0.0
Modernist_poetry_in_English,0.0126,0.0007,0.0073,0.2742,0.0001
Mogadishu,0.0079,0.0015,0.0084,0.3353,0.0001
Mohs_scale_of_mineral_hardness,0.0035,0.0156,0.0149,0.3444,0.0001
Moldova,0.0091,0.0111,0.0213,0.3954,0.0001
Moldovans,0.0032,0.0007,0.0079,0.3071,0.0
Mole_(animal),0.0044,0.0005,0.0073,0.2692,0.0
Molybdenum,0.0106,0.0062,0.0105,0.3399,0.0003
Momentum,0.0022,0.0059,0.01,0.3337,0.0001
Mona_Lisa,0.0101,0.0025,0.0092,0.3454,0.0006
Monaco,0.0064,0.0119,0.0236,0.4111,0.0002
Monaco_Grand_Prix,0.0022,0.0002,0.0072,0.2681,0.0002
Monarchies_in_the_European_Union,0.0126,0.0005,0.0076,0.3049,0.0001
Monarchy,0.0279,0.0205,0.0255,0.4155,0.0019
Money,0.0072,0.0072,0.0122,0.3659,0.0003
Mongol_Empire,0.0074,0.0059,0.0117,0.3526,0.0001
Mongolia,0.0111,0.018,0.0217,0.3935,0.0007
Mongoose,0.0054,0.0007,0.0073,0.2579,0.0001
Monkey,0.004,0.0044,0.0093,0.3349,0.0001
Monoclonius,0.0042,0.0002,0.0072,0.2105,0.0
Monopoly_(game),0.0074,0.0017,0.0077,0.2889,0.0001
Monrovia,0.0022,0.0017,0.009,0.3439,0.0
Montenegro,0.0217,0.0106,0.024,0.403,0.0002
Montevideo,0.0049,0.0022,0.0098,0.3589,0.0
Montreal,0.0195,0.0133,0.0152,0.3802,0.0014
Montreal_Metro,0.0022,0.0005,0.0073,0.2757,0.0
Montserrat,0.0064,0.0054,0.0145,0.4048,0.0002
Monty_Python,0.0119,0.0032,0.0084,0.3123,0.0005
Moon,0.0119,0.0321,0.0238,0.4216,0.0035
Moon_landing,0.0032,0.0007,0.0074,0.2799,0.0
Moore's_Law,0.004,0.0002,0.0076,0.3223,0.0
Morecambe_Bay,0.0025,0.0005,0.0073,0.2708,0.0
Morecambe_and_Wise,0.0022,0.0005,0.0073,0.2441,0.0
Moringa_oleifera,0.0094,0.0002,0.0072,0.206,0.0
Mormon,0.002,0.003,0.0087,0.3261,0.0
Mormon_Trail,0.0022,0.0002,0.0072,0.2572,0.0
Morocco,0.0168,0.0336,0.0392,0.4388,0.0012
Morphine,0.0037,0.0027,0.0088,0.3396,0.0002
Morris_dance,0.0049,0.0002,0.0072,0.2745,0.0
Mosaic,0.0054,0.0054,0.0104,0.3523,0.0001
Moscow,0.0153,0.0289,0.0306,0.4355,0.0026
Mosque,0.0168,0.0141,0.0164,0.3776,0.0008
Moss,0.0022,0.0025,0.0084,0.3278,0.0
Mother_Teresa,0.0089,0.001,0.0076,0.2925,0.0
Motion_(physics),0.0022,0.0037,0.0095,0.3454,0.0001
Mount_Baker,0.002,0.0007,0.0074,0.2916,0.0
Mount_Everest,0.0069,0.0047,0.0108,0.3625,0.0004
Mount_Kilimanjaro,0.0027,0.002,0.0081,0.3165,0.0001
Mount_Nyiragongo,0.0027,0.0005,0.0073,0.2533,0.0
"Mount_Osmond,_South_Australia",0.0012,0.0002,0.0072,0.2559,0.0
Mount_Pinatubo,0.0084,0.0015,0.0079,0.3167,0.0002
Mount_Rainier,0.003,0.0017,0.008,0.317,0.0
Mount_Rushmore,0.0081,0.001,0.0078,0.3028,0.0006
